headline,date_time,link,full_text,location,word_count_before,word_count_after,preprocessed_body,page_no,Class,Unnamed: 10
"Israeli occupation forces detain seven Palestinians from the occupied territories""",4/22/21 13:30,https://english.wafa.ps/Pages/Details/124164,"


RAMALLAH, Thursday, April 22, 2021 (WAFA) – Israeli occupation forces today detained seven Palestinians from various parts of the occupied territories, according to Palestinian security and local sources.
They confirmed that Israeli forces detained two Palestinians, including a 19-year-old youth, after raiding and ransacking their family homes in Saffa village, west of Ramallah.
Israeli forces also detained a Palestinian after breaking into his family house at al-Wad Street in the old city of occupied East Jerusalem.
They also detained another from the East Jerusalem neighborhood of al-Tur.
In Bethlehem district, Israeli troops manning the DCO military checkpoint in Beit Jala detained a Palestinian as he crossed the checkpoint and seized his vehicle.
In Hebron district, the sources confirmed an Israeli military raid in al-Baladiya suburb, where soldiers detained a resident after ransacking his family home.
Meanwhile, a resident of the northern West Bank city of Tulkarm was detained at his workplace inside Israel.
K.F./M.K.

",RAMALLAH,147,94,"['isra', 'occup', 'forc', 'today', 'detain', 'seven', 'palestinian', 'various', 'occupi', 'territori', 'accord', 'palestinian', 'secur', 'local', 'sourc', 'confirm', 'isra', 'forc', 'detain', 'palestinian', 'includ', '-year-old', 'youth', 'raid', 'ransack', 'famili', 'home', 'saffa', 'villag', 'west', 'ramallah', 'isra', 'forc', 'detain', 'palestinian', 'break', 'famili', 'hous', 'al-wad', 'street', 'old', 'citi', 'occupi', 'east', 'jerusalem', 'detain', 'anoth', 'east', 'jerusalem', 'neighborhood', 'al-tur', 'bethlehem', 'district', 'isra', 'troop', 'man', 'dco', 'militari', 'checkpoint', 'beit', 'jala', 'detain', 'palestinian', 'cross', 'checkpoint', 'seiz', 'vehicl', 'hebron', 'district', 'sourc', 'confirm', 'isra', 'militari', 'raid', 'al-baladiya', 'suburb', 'soldier', 'detain', 'resid', 'ransack', 'famili', 'home', 'meanwhil', 'resid', 'northern', 'west', 'bank', 'citi', 'tulkarm', 'detain', 'workplac', 'insid', 'israel', 'k.f./m.k']",124164,1.0,
"Israeli occupying army infiltrates Gaza’s southern border, 
levels farmland""",4/22/21 11:10,https://english.wafa.ps/Pages/Details/124161,"
















GAZA, Thursday,
April 22, 2021 (WAFA) – For the second consecutive day, the Israeli occupation
army today infiltrated Gaza’s southern border, east of Rafah city, and leveled
farmlands, according to WAFA correspondent.
He said that a
number of Israeli military tanks and bulldozers advanced several dozens of
meters to east of Rafah city in the southern besieged enclave, where they razed
a large tract of farmland and erected earth mounds amidst a barrage of gunfire
and smoke bombs.
Israeli
occupation forces often infiltrate the border with Gaza and level land to
prevent landowners and farmers from using their land located near the border
fence.
K.F./M.K.



",GAZA,92,64,"['second', 'consecut', 'day', 'isra', 'occup', 'armi', 'today', 'infiltr', 'gaza', 'southern', 'border', 'east', 'rafah', 'citi', 'level', 'farmland', 'accord', 'wafa', 'correspond', 'number', 'isra', 'militari', 'tank', 'bulldoz', 'advanc', 'sever', 'dozen', 'meter', 'east', 'rafah', 'citi', 'southern', 'besieg', 'enclav', 'raze', 'larg', 'tract', 'farmland', 'erect', 'earth', 'mound', 'amidst', 'barrag', 'gunfir', 'smoke', 'bomb', 'isra', 'occup', 'forc', 'infiltr', 'border', 'gaza', 'level', 'land', 'prevent', 'landown', 'farmer', 'use', 'land', 'locat', 'near', 'border', 'fenc', 'k.f./m.k']",124161,1.0,
"Israel approves appropriation of large tract of 
Palestinian-owned land west of Bethlehem""",4/22/21 10:38,https://english.wafa.ps/Pages/Details/124160,"
















BETHLEHEM,
Thursday, April 22, 2021 (WAFA) – The Israeli occupation authorities today
approved the appropriation of a large tract of Palestinian-owned land, west of
the southern West Bank city of Bethlehem, according to an official.
Hassan Breijeh, director of the Bethlehem office of the Wall and
Settlements Resistance Commission, said that the occupation authorities have
approved a plan to expropriate 147 dunums (147,000 square meters) of land
belonging to Nahalin and Husan villages, southwest and west of Bethlehem
respectively.
According to the
Israeli settlement-watch group, Peace Now, “Over the years, Israel has used a
number of legal and bureaucratic procedures in order to appropriate West Bank
lands, with the primary objective of establishing settlements and providing
land reserves for them.”
K.F./M.K.



",BETHLEHEMT,107,70,"['isra', 'occup', 'author', 'today', 'approv', 'appropri', 'larg', 'tract', 'palestinian-own', 'land', 'west', 'southern', 'west', 'bank', 'citi', 'bethlehem', 'accord', 'offici', 'hassan', 'breijeh', 'director', 'bethlehem', 'offic', 'wall', 'settlement', 'resist', 'commiss', 'occup', 'author', 'approv', 'plan', 'expropri', 'dunum', 'squar', 'meter', 'land', 'belong', 'nahalin', 'husan', 'villag', 'southwest', 'west', 'bethlehem', 'respect', 'accord', 'isra', 'settlement-watch', 'group', 'peac', 'year', 'israel', 'use', 'number', 'legal', 'bureaucrat', 'procedur', 'order', 'appropri', 'west', 'bank', 'land', 'primari', 'object', 'establish', 'settlement', 'provid', 'land', 'reserv', 'them.', 'k.f./m.k']",124160,1.0,
"Settlers storm archaeological site near Nablus""",4/21/21 10:49,https://english.wafa.ps/Pages/Details/124149,"
NABLUS, Wednesday, April 21, 2021 (WAFA) – Israeli settlers today stormed the archeological site of Sebastia, north of the West Bank city of Nablus, according to an official.
Sebastia mayor Mohammad Azzem told WAFA that the settlers forced their way into the site under the protection of the Israeli military, which declared the site off-limit for Palestinians.
He added that a large unit of Israeli soldiers raided the town and proceeded to close the site, preventing from Palestinians from accessing it, to make room for the settler intrusion.
Located 11 kilometers to the northwest of Nablus, Sebastia is a small historical town located on a hill with panoramic views across the West Bank and has a population of some 3,000 Palestinians.
A prominent settlement during the Iron Age as well as the Hellenistic and Roman eras, the town embraces a Roman amphitheater, temples, a Byzantine and a crusader churches, dedicated to Saint John the Forerunner, who baptized Jesus Christ in the Jordan River, besides to a mosque built in honor of the saint. Christians and Muslims believe the town to be the burial place of the saint.
Israel has been attempting to take over the town, which has become a site of heated cultural conflict, preventing the Palestinian Authority from conducting restoration works at the site, prohibiting providing tourist services to visitors from around the world, and stealing antiquities from it.
Palestinians complain that Israeli settlers have repeatedly attacked the town and fenced parts of its antiquities, where they hold religious rituals.
Twelve dunums of the archaeological area is located within (B) areas, which are controlled by Israeli military and Palestinian administrative authority, while the other part of the area lies within (C) areas, which falls under complete Israeli administrative and military control.
Owners of restaurants and hotels complain about the Israeli acts in the town which have caused them severe damages and losses.
Israel uses the Jewish nationalist name “Judea and Samaria” to refer to the occupied West Bank to reinforce its bogus claims to the territory and to give them a veneer of historical and religious legitimacy.
There are over 700,000 Israeli settlers living in colonial settlements in the West Bank and East Jerusalem.
K.F. 
",NABLUS,357,196,"['isra', 'settler', 'today', 'storm', 'archeolog', 'site', 'sebastia', 'north', 'west', 'bank', 'citi', 'nablus', 'accord', 'offici', 'sebastia', 'mayor', 'mohammad', 'azzem', 'told', 'wafa', 'settler', 'forc', 'way', 'site', 'protect', 'isra', 'militari', 'declar', 'site', 'off-limit', 'palestinian', 'ad', 'larg', 'unit', 'isra', 'soldier', 'raid', 'town', 'proceed', 'close', 'site', 'prevent', 'palestinian', 'access', 'make', 'room', 'settler', 'intrus', 'locat', 'kilomet', 'northwest', 'nablus', 'sebastia', 'small', 'histor', 'town', 'locat', 'hill', 'panoram', 'view', 'west', 'bank', 'popul', 'palestinian', 'promin', 'settlement', 'dure', 'iron', 'age', 'hellenist', 'roman', 'era', 'town', 'embrac', 'roman', 'amphitheat', 'templ', 'byzantin', 'crusad', 'church', 'dedic', 'saint', 'john', 'forerunn', 'baptiz', 'jesus', 'christ', 'jordan', 'river', 'besid', 'mosqu', 'built', 'honor', 'saint', 'christian', 'muslim', 'believ', 'town', 'burial', 'place', 'saint', 'israel', 'attempt', 'town', 'becom', 'site', 'heat', 'cultur', 'conflict', 'prevent', 'palestinian', 'author', 'conduct', 'restor', 'work', 'site', 'prohibit', 'provid', 'tourist', 'servic', 'visitor', 'world', 'steal', 'antiqu', 'palestinian', 'complain', 'isra', 'settler', 'repeat', 'attack', 'town', 'fenc', 'antiqu', 'hold', 'religi', 'ritual', 'twelv', 'dunum', 'archaeolog', 'area', 'locat', 'area', 'control', 'isra', 'militari', 'palestinian', 'administr', 'author', 'area', 'lie', 'area', 'fall', 'complet', 'isra', 'administr', 'militari', 'control', 'owner', 'restaur', 'hotel', 'complain', 'isra', 'act', 'town', 'caus', 'sever', 'damag', 'loss', 'israel', 'use', 'jewish', 'nationalist', 'judea', 'samaria', 'refer', 'occupi', 'west', 'bank', 'reinforc', 'bogus', 'claim', 'territori', 'veneer', 'histor', 'religi', 'legitimaci', 'isra', 'settler', 'live', 'coloni', 'settlement', 'west', 'bank', 'east', 'jerusalem', 'k.f']",124149,0.0,
"Israeli army infiltrates Gaza’s border, level farmlands""",4/21/21 10:40,https://english.wafa.ps/Pages/Details/124148,"
GAZA, Wednesday, April 21, 2021 (WAFA) – The Israeli army today infiltrated Gaza’s border, east of Rafah city, and leveled farmlands, according to WAFA correspondent.
He said that seven Israeli military tanks and vehicles advanced several dozens of meters to the east of Rafah city in the southern besieged enclave, where they razed a large tract of farmland and erected earth mounds amidst a barrage of gunfire and smoke bombs.
Two million Palestinians live the Gaza Strip, which has been subjected to a punishing and crippling Israeli blockade for 12 years and repeated onslaughts that have heavily damaged much of the enclave’s infrastructure.
Gaza’s 2-million population remains under “remote control” occupation and a strict siege, which has destroyed the local economy, strangled Palestinian livelihoods, plunged them into unprecedented rates of unemployment and poverty, and cut off from the rest of the occupied Palestinian territories and the wider world.
Gaza remains occupied territory, having no control over its borders, territorial waters or airspace. Meanwhile, Israel upholds very few of its responsibilities as the occupying power, failing to provide for the basic needs of Palestinian civilians living in the territory.
Every two in three Palestinians in Gaza is a refugee from lands inside what is now Israel. That government forbids them from exercising their right to return as enshrined in international law because they are not Jews.
K.F. 
",GAZA,221,127,"['isra', 'armi', 'today', 'infiltr', 'gaza', 'border', 'east', 'rafah', 'citi', 'level', 'farmland', 'accord', 'wafa', 'correspond', 'seven', 'isra', 'militari', 'tank', 'vehicl', 'advanc', 'sever', 'dozen', 'meter', 'east', 'rafah', 'citi', 'southern', 'besieg', 'enclav', 'raze', 'larg', 'tract', 'farmland', 'erect', 'earth', 'mound', 'amidst', 'barrag', 'gunfir', 'smoke', 'bomb', 'million', 'palestinian', 'live', 'gaza', 'strip', 'subject', 'punish', 'crippl', 'isra', 'blockad', 'year', 'repeat', 'onslaught', 'heavili', 'damag', 'enclav', 'infrastructur', 'gaza', '-million', 'popul', 'remain', 'remot', 'control', 'occup', 'strict', 'sieg', 'destroy', 'local', 'economi', 'strangl', 'palestinian', 'livelihood', 'plung', 'unpreced', 'rate', 'unemploy', 'poverti', 'cut', 'rest', 'occupi', 'palestinian', 'territori', 'wider', 'world', 'gaza', 'remain', 'occupi', 'territori', 'control', 'border', 'territori', 'water', 'airspac', 'meanwhil', 'israel', 'uphold', 'veri', 'respons', 'occupi', 'power', 'fail', 'provid', 'basic', 'need', 'palestinian', 'civilian', 'live', 'territori', 'everi', 'palestinian', 'gaza', 'refuge', 'land', 'insid', 'israel', 'govern', 'forbid', 'exercis', 'right', 'return', 'enshrin', 'intern', 'law', 'becaus', 'jew', 'k.f']",124148,1.0,
"Israeli occupation issues demolition and stop construction 
orders against 13 Palestinian-owned houses""",4/20/21 13:03,https://english.wafa.ps/Pages/Details/124143,"
















RAMALLAH,
Tuesday, April 20, 2021 (WAFA) – Israeli occupation authorities today issued
demolition and stop construction orders against 13 Palestinian-owned houses in
the village of Qabalan, south of the occupied northern West Bank city of
Nablus, according to an official source.
Ghassan Daghlas,
a local official, said that the Israeli forces raided the village and handed the
orders against the 13 houses located in the northern part of the village under
the pretext that they were built without a permit and that they are located in
Area C of the West Bank, which is under full Israeli military rule.
He added that
some of these houses are already inhabited while others are in the final stages
of construction.
Meanwhile,
Israeli forces seized two caravans in the village of Susya in Masafer Yatta,
south of the southern West Bank city of Hebron.
Jihad
al-Nawaja’a, head of the Susya village council, told WAFA that the forces
seized two caravans, one of which is a residential structure while the other is
used for storage, both owned by a local resident.
He noted that
the two caravans were seized under the pretext that they were located in Area
C.
At the same
time, forces seized a tractor owned by a resident of Bardala village in the
northern Jordan Valley, according to Mutaz Bisharat, a local official.
He said soldiers
raided the village and seized the tractor.
K.T./M.K.



",RAMALLAHT,205,114,"['isra', 'occup', 'author', 'today', 'issu', 'demolit', 'stop', 'construct', 'order', 'palestinian-own', 'hous', 'villag', 'qabalan', 'south', 'occupi', 'northern', 'west', 'bank', 'citi', 'nablus', 'accord', 'offici', 'sourc', 'ghassan', 'daghla', 'local', 'offici', 'isra', 'forc', 'raid', 'villag', 'hand', 'order', 'hous', 'locat', 'northern', 'villag', 'pretext', 'built', 'permit', 'locat', 'area', 'west', 'bank', 'isra', 'militari', 'rule', 'ad', 'hous', 'alreadi', 'inhabit', 'final', 'stage', 'construct', 'meanwhil', 'isra', 'forc', 'seiz', 'caravan', 'villag', 'susya', 'masaf', 'yatta', 'south', 'southern', 'west', 'bank', 'citi', 'hebron', 'jihad', 'al-nawaja', 'head', 'susya', 'villag', 'council', 'told', 'wafa', 'forc', 'seiz', 'caravan', 'residenti', 'structur', 'use', 'storag', 'local', 'resid', 'note', 'caravan', 'seiz', 'pretext', 'locat', 'area', 'c.', 'time', 'forc', 'seiz', 'tractor', 'resid', 'bardala', 'villag', 'northern', 'jordan', 'valley', 'accord', 'mutaz', 'bisharat', 'local', 'offici', 'soldier', 'raid', 'villag', 'seiz', 'tractor', 'k.t./m.k']",124143,1.0,
"For the sixth night in a row, Israeli police attack Palestinians in East Jerusalem""",4/20/21 10:16,https://english.wafa.ps/Pages/Details/124137,"


JERUSALEM, Tuesday, April 20, 2021 (WAFA) – Israeli police attacked last night Palestinians who gathered at Damascus Gate area in East Jerusalem following the night prayer at Al-Aqsa Mosque and dispersed them by force, according to witnesses.
They said the police, and for the sixth night in a row, attacked the people with stun grenade and sprayed them with wastewater, while pursuing some and beating them up.
The police have been attacking the Palestinians at the Damascus Gate plaza every night since the start of the holy fast month of Ramadan when people gather in the thousands at Al-Aqsa Mosque in Jerusalem’s old city to perform the Ramadan night prayers. After people leave the Mosque, they gather and sit on the steps outside Damascus Gate before police start to disperse them by force.
M.K.

",JERUSALEM,131,73,"['isra', 'polic', 'attack', 'night', 'palestinian', 'gather', 'damascus', 'gate', 'area', 'east', 'jerusalem', 'follow', 'night', 'prayer', 'al-aqsa', 'mosqu', 'dispers', 'forc', 'accord', 'wit', 'polic', 'sixth', 'night', 'row', 'attack', 'peopl', 'stun', 'grenad', 'spray', 'wastewat', 'pursu', 'beat', 'polic', 'attack', 'palestinian', 'damascus', 'gate', 'plaza', 'everi', 'night', 'sinc', 'start', 'holi', 'fast', 'month', 'ramadan', 'peopl', 'gather', 'thousand', 'al-aqsa', 'mosqu', 'jerusalem', 'old', 'citi', 'perform', 'ramadan', 'night', 'prayer', 'peopl', 'leav', 'mosqu', 'gather', 'sit', 'step', 'outsid', 'damascus', 'gate', 'befor', 'polic', 'start', 'dispers', 'forc', 'm.k']",124137,1.0,
"Palestinian resident of Jerusalem forced to demolish his house""",4/20/21 09:59,https://english.wafa.ps/Pages/Details/124136,"


JERUSALEM, Tuesday, April 20, 2021 (WAFA) – The Israeli municipality of West Jerusalem forced a Palestinian resident of the occupied eastern part of the city to demolish his own house under the pretext that it was built without a permit.
Amjad Ja'abees, from Jabal al-Mukabber neighborhood of East Jerusalem, tore down his house after being ordered to do so by the Israeli municipality to avoid paying exorbitant costs and fines if the municipality carries out the demolition itself.
He was given a period of five days to demolish his house, otherwise he will be fined.
Many Palestinians in the occupied city embark on demolishing their own houses to avoid paying the high costs that will be imposed on them by the Israeli municipality.
Using the pretext of illegal building, Israel demolishes Palestinian-owned houses on a regular basis to restrict Palestinian expansion in occupied Jerusalem.
K.T./M.K.

",JERUSALEM,140,72,"['isra', 'municip', 'west', 'jerusalem', 'forc', 'palestinian', 'resid', 'occupi', 'eastern', 'citi', 'demolish', 'hous', 'pretext', 'built', 'permit', 'amjad', ""ja'abe"", 'jabal', 'al-mukabb', 'neighborhood', 'east', 'jerusalem', 'tore', 'hous', 'order', 'isra', 'municip', 'avoid', 'pay', 'exorbit', 'cost', 'fine', 'municip', 'carri', 'demolit', 'given', 'period', 'day', 'demolish', 'hous', 'otherwis', 'fine', 'mani', 'palestinian', 'occupi', 'citi', 'embark', 'demolish', 'hous', 'avoid', 'pay', 'high', 'cost', 'impos', 'isra', 'municip', 'use', 'pretext', 'illeg', 'build', 'israel', 'demolish', 'palestinian-own', 'hous', 'regular', 'basi', 'restrict', 'palestinian', 'expans', 'occupi', 'jerusalem', 'k.t./m.k']",124136,1.0,
"PWA condemns vandalism of water reservoir in Nablus-district village """,4/19/21 19:42,https://english.wafa.ps/Pages/Details/124134,"
RAMALLAH, Monday, April 19, 2021 (WAFA) – The Palestinian Water Authority today condemned the vandalism of the main water reservoir in Asira al-Qibliya village, southwest of Nablus city.
During an inspection visit to the site of the vandalized reservoir, head of the Palestinian Water Authority (PWA), Mazen Ghneim, decried the sabotage by Israeli settlers of the reservoir as “a systematic and serious violation of the basic human rights”, particularly that it resulted in depriving over 6,000 Palestinians of water, particularly during the Ramadan fasting month.
He added that the settlers came from Yitzhar, an illegal settlement inhabited by hardcore fanatic Jews, while pointing that it was not the first act of settler vandalism against the site.
He pledged that PWA would spare no effort to rehabilitate the reservoir and restore the water supply to the villagers, as he urged local and international human rights organizations to document Israeli settler and occupation authorities’ assaults and help bring perpetrators to account.
Settler violence against Palestinians and their property is routine in the West Bank and is rarely prosecuted by Israeli authorities.
Settlers‘ violence includes property and mosque arsons, stone-throwing, uprooting of crops and olive trees, attacks on vulnerable homes, among others.
Over 700,000 Israelis live in Jewish-only settlements across occupied East Jerusalem and the West Bank in violation of international law.
K.F.
",RAMALLAH,213,127,"['palestinian', 'water', 'author', 'today', 'condemn', 'vandal', 'main', 'water', 'reservoir', 'asira', 'al-qibliya', 'villag', 'southwest', 'nablus', 'citi', 'dure', 'inspect', 'visit', 'site', 'vandal', 'reservoir', 'head', 'palestinian', 'water', 'author', 'pwa', 'mazen', 'ghneim', 'decri', 'sabotag', 'isra', 'settler', 'reservoir', 'systemat', 'violat', 'basic', 'human', 'right', 'particular', 'result', 'depriv', 'palestinian', 'water', 'particular', 'dure', 'ramadan', 'fast', 'month', 'ad', 'settler', 'came', 'yitzhar', 'illeg', 'settlement', 'inhabit', 'hardcor', 'fanat', 'jew', 'point', 'act', 'settler', 'vandal', 'site', 'pledg', 'pwa', 'spare', 'effort', 'rehabilit', 'reservoir', 'restor', 'water', 'suppli', 'villag', 'urg', 'local', 'intern', 'human', 'right', 'organ', 'document', 'isra', 'settler', 'occup', 'author', 'assault', 'help', 'bring', 'perpetr', 'account', 'settler', 'violenc', 'palestinian', 'properti', 'routin', 'west', 'bank', 'rare', 'prosecut', 'isra', 'author', 'settler', 'violenc', 'includ', 'properti', 'mosqu', 'arson', 'stone-throw', 'uproot', 'crop', 'oliv', 'tree', 'attack', 'vulner', 'home', 'isra', 'live', 'jewish-on', 'settlement', 'occupi', 'east', 'jerusalem', 'west', 'bank', 'violat', 'intern', 'law', 'k.f']",124134,,
"Israel starts construction of new settler units in northern Jordan Valley """,4/19/21 15:52,https://english.wafa.ps/Pages/Details/124133,"
JORDAN VALLEY, Monday, April 19, 2021 (WAFA) – The Israeli occupation authorities today started the construction of new colonial settler units in the northern Jordan Valley, according to an official.  
Director-General of Documentation and Publishing at the Settlement & Wall Resistance Commission, Qassem Awad, said that a number of companies started the construction of 23 new settler units in the illegal colonial settlement of Maskyot in the northern Jordan Valley.
He added that the Israeli government approved the Settlement Regional Council’s request to build these units on October 24, 2020, while pointing that this step falls within the Israeli government’s support for colonial settlement construction policy. 
The Jordan Valley, which is a fertile strip of land running west along the Jordan River, is home to about 65,000 Palestinians and makes up approximately 30% of the West Bank.
Since 1967, when the Israeli army occupied the West Bank, Israel has transferred at least 11,000 of its Jewish citizens to the Jordan Valley. Some of the settlements in which they live were built almost entirely on private Palestinian land.
The Israel military has also designated about 46 percent of the Jordan Valley as a closed military zone since the beginning of the occupation in June 1967, and has been utilizing the pretext of military drills to forcefully displace Palestinian families living there as part of a policy of ethnic cleansing and stifling Palestinian development in the area.
Approximately 6,200 Palestinians live in 38 communities in places earmarked for military use and have had to obtain permission from the Israeli authorities to enter and live in their communities.
In violation of international law, the Israeli military not only temporarily displaces the communities on a regular basis, but also confiscates their farmlands, demolishes their homes and infrastructure from time to time.
Besides undergoing temporary displacement, the Palestinian families living there face a myriad restrictions on access to resources and services. Meanwhile, Israel exploits the resources of the area and generates profit by allocating generous tracts of land and water resources for the benefit of settlers.
Israeli politicians have made it clear on several occasions that the highly strategic Jordan Valley would remain under their control in any eventuality.
K.F. 
",JORDAN,355,197,"['isra', 'occup', 'author', 'today', 'start', 'construct', 'new', 'coloni', 'settler', 'unit', 'northern', 'jordan', 'valley', 'accord', 'offici', 'director-gener', 'document', 'publish', 'settlement', 'wall', 'resist', 'commiss', 'qassem', 'awad', 'number', 'compani', 'start', 'construct', 'new', 'settler', 'unit', 'illeg', 'coloni', 'settlement', 'maskyot', 'northern', 'jordan', 'valley', 'ad', 'isra', 'govern', 'approv', 'settlement', 'region', 'council', 'request', 'build', 'unit', 'octob', 'point', 'step', 'fall', 'isra', 'govern', 'support', 'coloni', 'settlement', 'construct', 'polici', 'jordan', 'valley', 'fertil', 'strip', 'land', 'run', 'west', 'jordan', 'river', 'home', 'palestinian', 'make', 'approxim', 'west', 'bank', 'sinc', 'isra', 'armi', 'occupi', 'west', 'bank', 'israel', 'transfer', 'jewish', 'citizen', 'jordan', 'valley', 'settlement', 'live', 'built', 'entir', 'privat', 'palestinian', 'land', 'israel', 'militari', 'design', 'percent', 'jordan', 'valley', 'close', 'militari', 'zone', 'sinc', 'begin', 'occup', 'june', 'util', 'pretext', 'militari', 'drill', 'forc', 'displac', 'palestinian', 'famili', 'live', 'polici', 'ethnic', 'cleans', 'stifl', 'palestinian', 'develop', 'area', 'approxim', 'palestinian', 'live', 'communiti', 'place', 'earmark', 'militari', 'use', 'obtain', 'permiss', 'isra', 'author', 'enter', 'live', 'communiti', 'violat', 'intern', 'law', 'isra', 'militari', 'onli', 'temporarili', 'displac', 'communiti', 'regular', 'basi', 'confisc', 'farmland', 'demolish', 'home', 'infrastructur', 'time', 'time', 'besid', 'undergo', 'temporari', 'displac', 'palestinian', 'famili', 'live', 'face', 'myriad', 'restrict', 'access', 'resourc', 'servic', 'meanwhil', 'israel', 'exploit', 'resourc', 'area', 'generat', 'profit', 'alloc', 'generous', 'tract', 'land', 'water', 'resourc', 'benefit', 'settler', 'isra', 'politician', 'clear', 'sever', 'occas', 'high', 'strateg', 'jordan', 'valley', 'remain', 'control', 'ani', 'eventu', 'k.f']",124133,0.0,
"Israeli settlers raze lands in the Jordan Valley, raising concern of Palestinian residents""",4/19/21 13:42,https://english.wafa.ps/Pages/Details/124129,"


JORDAN VALLEY, Monday, April 19, 2021 (WAFA) – Israeli settlers today razed Palestinian-owned lands in the area of Khirbet al-Hamma Bedouin community in the northern Jordan Valley raising concern of the local Palestinian residents, according to local sources.
They said that settlers from an illegal outpost located near the Palestinian community used a bulldozer to raze the lands belonging to a Palestinian resident, as more land is expected to be razed to open roads for the settlers.
Residents are worried that the settlement outposts and the settlers are going to take control of most of the pastures they use to herd their livestock, which is their main source of income.
K.T./M.K.

",JORDAN,108,56,"['isra', 'settler', 'today', 'raze', 'palestinian-own', 'land', 'area', 'khirbet', 'al-hamma', 'bedouin', 'communiti', 'northern', 'jordan', 'valley', 'rais', 'concern', 'local', 'palestinian', 'resid', 'accord', 'local', 'sourc', 'settler', 'illeg', 'outpost', 'locat', 'near', 'palestinian', 'communiti', 'use', 'bulldoz', 'raze', 'land', 'belong', 'palestinian', 'resid', 'land', 'expect', 'raze', 'open', 'road', 'settler', 'resid', 'worri', 'settlement', 'outpost', 'settler', 'control', 'pastur', 'use', 'herd', 'livestock', 'main', 'sourc', 'incom', 'k.t./m.k']",124129,0.0,
"Two Palestinian brothers complete 28 years behind Israeli bars""",4/18/21 13:47,https://english.wafa.ps/Pages/Details/124123,"
RAMALLAH, Sunday, April 18, 2021 (WAFA) – Two Palestinian political prisoners and brothers in Israeli detention complete today 28 years in a row behind Israeli prison bars, said the Palestinian Prisoner Society.
Abdel-Jawad, 51, and Mohammad Shamasneh, 57, from the village of Qatanna in the occupied West Bank, were arrested on this day in 1993, and was sentenced to a life in prison for their activism in the armed resistance against the Israeli occupation.
For five years now, the two have been deprived of their right to family visitation of their mother, who is a sick old woman, and one of them, Abdel-Jawad, is also denied family visitation of his two sons by the occupation authorities. 
The Israeli occupation authorities are still incarcerating more than 4,500 Palestinian and Arab prisoners for resisting its occupation of their homeland.
M.N
",RAMALLAH,135,61,"['palestinian', 'polit', 'prison', 'brother', 'isra', 'detent', 'complet', 'today', 'year', 'row', 'isra', 'prison', 'bar', 'palestinian', 'prison', 'societi', 'abdel-jawad', 'mohammad', 'shamasneh', 'villag', 'qatanna', 'occupi', 'west', 'bank', 'arrest', 'day', 'sentenc', 'life', 'prison', 'activ', 'arm', 'resist', 'isra', 'occup', 'year', 'depriv', 'right', 'famili', 'visit', 'mother', 'sick', 'old', 'woman', 'abdel-jawad', 'deni', 'famili', 'visit', 'son', 'occup', 'author', 'isra', 'occup', 'author', 'incarcer', 'palestinian', 'arab', 'prison', 'resist', 'occup', 'homeland', 'm.n']",124123,,
"Occupation forces attack worshipers at Damascus Gate, injure nine""",4/18/21 09:38,https://english.wafa.ps/Pages/Details/124118,"
JERUSALEM, Sunday, April 18, 2021 (WAFA) – Israeli occupation police last night attacked hundreds of Palestinian worshipers as they were leaving the Al-Aqsa Mosque compound via Damascus Gate in the occupied capital Jerusalem, injured nine of them and detained one, according to witnesses.
Israeli police officers were seen firing stun grenades and teargas canisters at the worshipers and chasing them in the Damascus Gate area, while also physically assaulting some of them during the attack. Nine worshipers reportedly sustained light injuries.
The Israeli police has been banning any gatherings at the Damascus Gate area since the beginning of the Muslim fasting month of Ramadan five days ago, while at the same time allowing gatherings for Israeli settlers in other areas of the holy city.
The Damascus Gate area, which leads to the Old City of Jerusalem and the Al-Aqsa Mosque compound, has been a scene of frequent clashes with the Israeli police since the beginning of Ramadan, due to the multiple restrictions enforced on the entry of Palestinian worshipers to the Mosque by the Israeli occupation authorities.
M.N
",JERUSALEM,174,96,"['isra', 'occup', 'polic', 'night', 'attack', 'hundr', 'palestinian', 'worship', 'leav', 'al-aqsa', 'mosqu', 'compound', 'damascus', 'gate', 'occupi', 'capit', 'jerusalem', 'injur', 'detain', 'accord', 'wit', 'isra', 'polic', 'offic', 'seen', 'stun', 'grenad', 'tearga', 'canist', 'worship', 'chase', 'damascus', 'gate', 'area', 'physic', 'assault', 'dure', 'attack', 'worship', 'report', 'sustain', 'light', 'injuri', 'isra', 'polic', 'ban', 'ani', 'gather', 'damascus', 'gate', 'area', 'sinc', 'begin', 'muslim', 'fast', 'month', 'ramadan', 'day', 'ago', 'time', 'allow', 'gather', 'isra', 'settler', 'area', 'holi', 'citi', 'damascus', 'gate', 'area', 'lead', 'old', 'citi', 'jerusalem', 'al-aqsa', 'mosqu', 'compound', 'scene', 'frequent', 'clash', 'isra', 'polic', 'sinc', 'begin', 'ramadan', 'multipl', 'restrict', 'enforc', 'entri', 'palestinian', 'worship', 'mosqu', 'isra', 'occup', 'author', 'm.n']",124118,1.0,
