headline,date_time,link,full_text
"Clashes break out in central Hebron """,17/May/2021 06:05 PM,https://english.wafa.ps/Pages/Details/124541,"
HEBRON, Monday, May 17, 2021 (WAFA) – Clashes broke out today between Palestinians and Israeli forces in Bab al-Zawyeh area in central Hebron city, in the southern West Bank, according to WAFA correspondent.
WAFA correspondent said Israeli soldiers stationed at the military checkpoint at the entrance to Shuhada Street clashed with Palestinian protesters and fired stun grenades towards protesters and nearby commercial shops, which forced owners to close their shops.
No injuries were reported.
T.R.
"
"Casualties of Israeli onslaught on Gaza evacuated to Egypt""",17/May/2021 05:51 PM,https://english.wafa.ps/Pages/Details/124540,"
ARISH, Monday, May 17, 2021 (WAFA) – More Palestinians wounded in the ongoing Israeli onslaught on Gaza were evacuated to Egypt on Monday for treatment, according to a diplomat.
Palestinian ambassador to Egypt Diab Al-Louh, who also serves as the Palestinian Envoy to the Arab League, said that the casualties of the Israeli bombardment of Gaza started to flow to the Egyptian hospitals via Rafah border crossing in line with President Mahmoud Abbas’ instructions. 
He added that Egyptian medical staff were deployed on the Egyptian side of the crossing, prepared to provide treatment to the injured before referring the latter to the designated hospitals.
He pointed that work is underway to evacuate the remaining casualties as the death toll in Gaza continued to climb on the eighth consecutive day of relentless ground and aerial bombardment of Gaza that marks the largest conflagration since the 2014 Israeli onslaught on the strip. 
The Palestinian Health Ministry said the overall death toll since the latest onslaught began reached 200, including 59 children and 35 women, and wounded some 1300 others.
K.F. 
"
"Two Palestinians succumb to wounds sustained in Israeli airstrikes on Gaza city """,17/May/2021 05:13 PM,https://english.wafa.ps/Pages/Details/124539,"
GAZA, Monday, May 17, 2021 (WAFA) – Two Palestinians who were injured in the brutal airstrikes that targeted Deir a-Balah city, in central Gaza, succumbed to their critical wounds, said sources.
Israeli warplanes today shelled a group of Palestinian civilians near al-Aqsa Martyrs hospital in Deir al-Balah, seriously injuring two people. They succumbed to their wounds a few hours later.
T.R.
"
"Israeli warplanes bomb Gaza's main power lines""",17/May/2021 05:11 PM,https://english.wafa.ps/Pages/Details/124538,"
GAZA, Monday, May 17, 2021 (WAFA) –  Israeli warplanes destroyed the main power lines supplying energy to the people of the Gaza Strip, leaving homes and service establishments without electricity.
The Electricity Distribution Company said in a press conference held Monday in the Shifa Medical Complex, west of Gaza City that a 'great destruction affected a wide sector of the components of the electricity distribution network as a result of the Israeli aggression, causing losses of millions of dollars. There are five main transmission lines that have been disrupted since the beginning of the aggression and carry an estimated capacity of 60 megawatts. The remaining lines are constantly disrupted and out of service due to targeting and destroying many places. ""
It stressed that the amount of available electricity from various sources amounted to approximately 107 megawatts, and the demand for energy exceeded 400 megawatts.
The company warned against stopping the power station due to the closure of the Karam Abu Salem crossing in the southeast of the Strip and the failure to allow the entry of fuel shipments needed to operate it, explaining that it had purchased a quantity of fuel from the local market to prolong the operation period by two or three days in order to obtain electricity.
Medical sources reported that the total number of Palestinians killed during the Israeli aggression has reached 200, including 59 children and 35 women, and that the number of injuries has risen to more than 1,300, among whom dozens are in severely wounded.
K.T./ K.F. 
"
"Israeli settlers assault Palestinians near Jericho""",17/May/2021 05:07 PM,https://english.wafa.ps/Pages/Details/124537,"
JERUCHO, Monday, May 17, 2021 (WAFA) – Israeli settlers Monday assaulted Palestinians from the village of al-Zubeidat, north of the occupied West Bank city of Jericho, according to sources.
Local sources told WAFA that the settlers attacked two people, including a doctor, and a girl, beating them.
They added that the settlers' did so under the protection of Israeli forces, who stopped a number of citizens' cars and inspected their IDs.
Settler violence against Palestinians and their property is routine in the West Bank and is rarely prosecuted by Israeli authorities.
Settlers‘ violence includes property and mosque arsons, stone-throwing, uprooting of crops and olive trees, attacks on vulnerable homes, among others.
There are over 700,000 Israeli settlers living in colonial settlements in the West Bank and East Jerusalem.
K.T./ K.F. 
"
"Palestinians declare general strike in protest of Gaza onslaught, Jerusalem expulsions""",17/May/2021 03:57 PM,https://english.wafa.ps/Pages/Details/124535,"
RAMALLAH, Monday, May 17, 2021 (WAFA) – The Palestinian people called for a general strike on Tuesday in protest of the ongoing Israeli onslaught on Gaza, forced expulsions from Jerusalem, and settler mob violence. 
Businesses, schools, universities and offices in the occupied territories will close as Fatah Central Committee called on people to take part in the strike in protest of the Israeli aggression on Gaza, which have killed 200 Palestinians, including 59 children and 35 women, and wounded some 1300 others, as well as against the Israeli military occupation, settler mob violence.
The committee issued a statement backing the strike and calling the world to confront the Israeli occupation authorities’ attempts to “ignite a religious conflict” through forced expulsions in Jerusalem, while stressing that there would be “neither security, nor peace, nor stability without having Jerusalem as the capital of the independent Palestinian state”.
The Lawyers Syndicate, the General Union of Teachers, and the Higher Committee of the Public Transportation, among other public unions and syndicates, issued calls backing the strike. 
The call for the strike has been supported by the Palestinian prisoners’ movement, popular movements, and political parties, as well as by the Arab High Follow-up Committee, which called the approximately 1.6 million Palestinian citizens of Israel to observe the strike.
Palestinians in the occupied territories, throughout Israel and worldwide are expected to take part in peaceful protests in condemnation of the Israeli aggression.
K.F.
"
"Four Palestinians killed, others wounded Israeli airstrikes on Gaza""",17/May/2021 02:16 PM,https://english.wafa.ps/Pages/Details/124531,"
GAZA, Monday, May 17, 2021 (WAFA) – Four Palestinians were killed and a number of others were wounded in fresh Israeli airstrikes on the besieged Gaza Strip, according to WAFA correspondent.
He said that Israeli warplanes targeted a vehicle with a missile near the seaport, west of Gaza city, killing three Palestinians, including two who were in the vicinity.  
The warplanes also pounded several civilian houses in Beit Lahia and Jabalya towns in the northern besieged enclave, killing one and injuring a number of others, mostly children and women. 
The casualties were rushed to the Indonesian Hospital. 
The Palestinian Health Ministry said the overall death toll since the latest onslaught began reached 198, including 58 children and 35 women. At least 1,300 people have been wounded.
The Israeli military has carried out hundreds of airstrikes on the coastal enclave, targeting what it alleged as military sites. However, the bombardment targeted and leveled multistory residential buildings, towers, houses, government institutions, media outlet offices, banks in addition to roads and other infrastructure across the strip.    
Two million Palestinians live the Gaza Strip, which has been subjected to a punishing and crippling Israeli blockade for 12 years and repeated onslaughts that have heavily damaged much of the enclave’s infrastructure.
Gaza’s 2-million population remains under “remote control” occupation and a strict siege, which has destroyed the local economy, strangled Palestinian livelihoods, plunged them into unprecedented rates of unemployment and poverty, and cut off from the rest of the occupied Palestinian territories and the wider world.
Gaza remains occupied territory, having no control over its borders, territorial waters or airspace. Meanwhile, Israel upholds very few of its responsibilities as the occupying power, failing to provide for the basic needs of Palestinian civilians living in the territory.
Every two in three Palestinians in Gaza is a refugee from lands inside what is now Israel. That government forbids them from exercising their right to return as enshrined in international law because they are not Jews.
K.F.
"
"Israeli settlers storm cemetery near Jerusalem's""",17/May/2021 12:57 PM,https://english.wafa.ps/Pages/Details/124527,"
JERUSALEM, Monday, May 17, 2021 (WAFA) – Dozens of settlers stormed this morning the Bab al-Rahma cemetery, adjacent to the Al-Aqsa Mosque, and Al-Ghazali Square near Bab Al-Asbat, and performed Talmudic rituals.
Eyewitnesses said that the settlers broke into the Bab al-Rahma cemetery, and performed Talmudic rituals at the gate, in the middle of the cemetery, on the wall of the Al-Aqsa Mosque, and performed Talmudic dances in Imam Al-Ghazali Square in front of Bab al-Asbat, one of the gates of Al-Aqsa, before storming the cemetery.
The settlers' dances and raid of the  cemetery and the vicinity of the Bab al-Asbat came after they failed to storm the Al-Aqsa Mosque from the Bab al-Maghariba for the second day in a row.
K.T./ K.F. 
"
"Hundreds suffocate as Israeli forces crackdown on West Bank rallies """,17/May/2021 12:53 PM,https://english.wafa.ps/Pages/Details/124526,"
RAMALLAH, Monday, May 17, 2021 (WAFA) – Hundreds of Palestinians Monday overnight suffocated as Israeli forces cracked down on rallies in solidarity with Gaza across the West Bank, according to WAFA correspondent.
In Bethlehem district, Israeli forces violently dispersed protestors who rallied in solidarity with Gaza in Husan village, west of the city, sparking confrontations.
The soldiers opened fire towards the protestors, causing a number to suffocate from the effects of tear gas inhalation.
In the city of Hebron, Israeli troops cracked down on Palestinians who rallied west of the Ibrahimi Mosque in protest of the ongoing onslaught on Gaza and the forced expulsions in the Jerusalem neighborhood of Sheikh Jarrah. Dozens of suffocation cases were reported.
 In Jenin district, Israeli troops forced their way into Zbuba village, west of the city, to suppress a similar rally. Dozens of suffocation cases from tear gas were confirmed.
Similar rallies which saw participants raising the flag of Palestine and black flags and shouting slogans in condemnation of the Israeli attack on Gaza and ethnic cleansing in Sheikh Jarrah were also reported in Qabatiya town, Rummana and Jenin refugee camp.
K.F. 
"
"Casualties confirmed as Israel renews relentless bombardment of Gaza """,17/May/2021 10:18 AM,https://english.wafa.ps/Pages/Details/124525,"
GAZA, Monday, May 17, 2021 (WAFA) – The Israeli military Monday continued its relentless bombardment of the besieged Gaza Strip as the onslaught entered its eighth day, according to WAFA correspondent.
He said that the Israeli warplanes renewed their strikes of various locations in Jabalya and Beit Lahia towns in the northern strip, al-Bureij and Nuseirat refugee camps in the central strip and Khan Younes in the south, targeting civilian houses, factories, agricultural land and infrastructure and causing massive material damage.
The heavy artillery shelling targeted a foam products factory on Salah Eddin Street, east of Jabalya, setting it aflame. Palestinian Civil Defense crews rushed to the scene and are battling to extinguish the fire. 
An Israeli drone fired a missile toward two Palestinians walking on a street, east of Deir al-Balah city, in the central strip, wounding them. They were rushed to Shuhada Al-Aqsa Hospital for treatment.
This came as the Israeli military conducted more than 100 airstrikes on various areas along the western part of Gaza city, targeting Ansar compound, al-Maqusi Towers, two houses including a four-storey house near al-Shifa hospital, in addition to streets in al-Rimal, Tel al-Hawa, Sheikh Ajlin and the western part of Zeitoun neighborhoods.
WAFA correspondent confirmed casualties, including women and children, without specifying the numbers. He added that medics faced difficulties reaching scenes of the airstrikes and transporting the wounded because the Israeli military had bombed many roads leading to hospitals.
The bombardment also caused substantial damage to power lines, leading to electricity cuts across large parts of Gaza city. 
The Health Ministry reported on Sunday (last updated 4:00 PM)  that a total of 188 Palestinians were killed, including 55 children and 33 women, and 1,230 others were wounded in the ongoing Israeli onslaught on Gaza. 
K.F. 
"
"Israeli extremists attack Palestinians in occupied Jerusalem area, injuries reported""",16/May/2021 11:53 PM,https://english.wafa.ps/Pages/Details/124523,"
JERUSALEM, Sunday, May 16, 2021 (WAFA) – Two Palestinians were injured as Israeli extremists, with the backing of Israeli police forces, attacked Palestinian residents in Beit Hanina neighborhood and Shufa’at refugee camp, to the north of occupied Jerusalem, according to a local official.
Palestinian residents in Beit Hanina neighborhood and Shufa’at refugee camp confronted Israeli settlers who came to vandalize their village and attack them and clashes broke out.
The police forces present in the area fired tear gas, stun grenades, and rubber bullets at the Palestinians, injuring two people; one was shot and injured in the abdomen area with a rubber-coated steel bullet and the other was struck in the head with a stun grenade.
T.R.
"
"UPDATE: Palestinians injured during clashes across occupied West Bank """,16/May/2021 08:26 PM,https://english.wafa.ps/Pages/Details/124516,"
WEST BANK, Sunday, May 16, 2021 (WAFA) – Four Palestinians were shot and injured with live ammunition, and many others suffocated during clashes that broke out with Israeli forces across various parts of the occupied West Bank, according to medical and local sources.
Clashes were reported north of Bethlehem in ‘Aida refugee camp, where many people suffered from suffocation due to inhaling tear gas fired by the Israeli army. They were all treated at the scene.
In the southern West Bank, clashes were reported in Jenin’s town of Tura with one person in his 20s shot by a live bullet in the leg. 
Settlers, backed by Israeli soldiers, reportedly attacked with stones Palestinian resident’s homes in Silet al-Harithiyah village, north of Jenin, leading to clashes. The forces who provided the settlers with protection used live ammunition towards the town residents to disperse them.
Meanwhile, a Palestinian youth was shot and injured in the chest during clashes that broke out at Huwwara military checkpoint to the south of Nablus. Many others were treated from tear-gas suffocation.
In Hebron, Two youth were shot and injured in the foot; one with live ammunition and the other with rubber-coated steel bullets, and dozens of others suffocated by tear gas fired by Israeli army soldiers during clashes that broke out in central Hebron city.
Similar clashes were also witnessed in the town of Beit Ummar to the north of Hebron, during which forces used live bullets stun grenades, and tear gas canisters against residents, causing dozens to suffocate.
The clashes erupted in protest against the Israeli occupation forces' ongoing onslaught on Gaza and on Arab Palestinians inside Israel.
T.R.
"
"Israeli airstrikes kill four more Palestinian civilians in Gaza """,16/May/2021 07:56 PM,https://english.wafa.ps/Pages/Details/124515,"
GAZA, Sunday, May 16, 2021 (WAFA) – Four Palestinians were killed today as the Israeli airstrikes against the besieged Gaza Strip continued for the seventh consecutive day, said sources.
Israeli warplanes targeted a group of Palestinian civilians to the northeast of Rafah city, in the southern Strip, killing two people and injuring one.
The airstrikes targeted another group of civilians in the town of Beit Hanoun to the north of the Strip, killing two more people, and injuring many others.
T.R.  
"
"Israeli extremists shoot, injure two Palestinian youth in occupied Jerusalem """,16/May/2021 07:48 PM,https://english.wafa.ps/Pages/Details/124514,"
JERUSALEM, Sunday, May 16, 2021 (WAFA) – Two Palestinian youth were shot and injured with live ammunition fired by Israeli extremists in the al-Ashqariyeh neighborhood near Shufa'at refugee camp in occupied Jerusalem, according to witnesses.
Witnesses told WAFA Israeli extremists opened live fire towards a group of Palestinians, shooting and injuring two youth aged 23 and 28. They were transferred to hospital for medical treatment.
T.R.
"
"More bodies pulled out from rubble of residential building in Gaza, death toll hits 188""",16/May/2021 07:15 PM,https://english.wafa.ps/Pages/Details/124513,"
GAZA, Sunday, May 16, 2021 (WAFA) – Rescue teams have pulled out more bodies of Palestinian civilians from the rubble of a residential building that was totally destroyed last night by Israeli airstrikes in the al-Rimal neighborhood in Gaza City, taking the death toll of the Israeli aggression on the Gaza Strip to 188.
Medical sources reported that more bodies, mostly of children, were pulled out from under the debris of the Al-Kulak building in central Gaza City, raising the fatalities among the residents of the building to 37.
The sources added that 13 women and eight children were among the victims, in addition to the injury of 50 others.
Rescue teams are still digging through the rubble for survivors, according to the sources.
The latest Israeli airstrikes, in addition to those carried out over the past five days, have caused significant damage to infrastructure, including electricity networks and roads, cutting the geographic connection between major neighborhoods in the coastal enclave.
Entire buildings, homes, and apartments were leveled to the ground by Israeli warplanes and artillery during the ongoing Israeli aggression which mainly targets the civil population.
A.D./T.R.
"
"UPDATE: Israeli police shoot, kill Palestinian man in Jerusalem's Sheikh Jarrah """,16/May/2021 06:46 PM,https://english.wafa.ps/Pages/Details/124511,"
JERUSALEM, Sunday, May 16, 2021 (WAFA) – A Palestinian man was critically injured today evening after being shot in the chest by Israeli police who opened fire at his car in the Sheikh Jarrah neighborhood in occupied Jerusalem, according to local sources. 
Israeli police deployed heavily in the area following the shooting and closed off the area and prevented medical teams’ access to the man. The man, who was identified as 41-year-old Shaher Abu Khadija, succumbed to his critical wounds.
Israeli police continue to impose tightened measures against the Palestinian residents of the Sheikh Jarrah neighborhood, who are threatened with the forced expulsion from their homes for the benefit of Israeli settlers.
T.R.
"
"Settlers block north entrance to Al-Bireh """,16/May/2021 03:22 PM,https://english.wafa.ps/Pages/Details/124507,"
RAMALLAH, Sunday, May 16, 2021 (WAFA) – A mob of Israeli settlers shut down today the north entrance to the city of Al-Bireh, in the Ramallah and Al-Bireh province in the occupied West Bank, denying entry and exit of Palestinian vehicles.
Witnesses told WAFA that dozens of hardcore Israeli settlers flocked to the main street outside the illegal Israeli settlement of Beit El, located north of Al-Bireh city, and pelted stones at Palestinian vehicles at the street, causing damage to some of them. No casualties were reported.
The settlers mob also blocked the section of the street to the Palestinian traffic denying entry and exit of vehicles to Al-Bireh.
The cities of Ramallah and Al-Bireh are the current administrative center of the Palestinian Government where all the ministries and state departments are located.
In the meantime, hardcore Israeli settlers gathered at Route 60, just outside the village of Al-Lubban ash-Sharqiya, to the south of Nablus, and pelted stones at Palestinian vehilces driving at the road, which connects the north with the center of the West Bank.
M.N
"
"Settlers pelt stones at Palestinian vehicles in Bethlehem """,16/May/2021 02:31 PM,https://english.wafa.ps/Pages/Details/124506,"
BETHLEHEM, Sunday, May 16, 2021 (WAFA) – Dozens of hardcore Israeli settlers pelted stones last night at Palestinian-owned vehicles while driving near the town of Beit Jala, in the southern West Bank province of Bethlehem, according to Palestinian security sources.
A mob of Israeli settlers converged at the west entrance to the town of Beit Jala and the main entrance to the neighboring village of al-Walaja, before they started pelting stones. No injuries were reported among the Palestinian drivers or passengers.
Earlier today, a Palestinian young man was injured by gunfire shot at him by hardcore Israeli settler vandals outside the town of Bani Na'im, to the east of Hebron city in the occupied West Bank.
M.N
 
"
"Settler vandals injure a Palestinian man with gunfire near Hebron """,16/May/2021 01:03 PM,https://english.wafa.ps/Pages/Details/124504,"
HEBRON, Sunday, May 16, 2021 (WAFA) – A Palestinian young man was injured by gunfire shot at him today by hardcore Israeli settler vandals outside the town of Bani Na'im, to the east of Hebron city in the occupied West Bank, according to Palestinian security sources.
Armed settlers opened gunfire at the young man while driving at a street outside the town of Bani Na'im and injured him in the back. Despite his injury, the man managed to continue his way to the neighboring village of Beit Einun, where citizens moved him to hospital for medical treatment.
Several roads across the occupied West Bank were shut down over the past few days by hardcore settler gangs who carried out several attacks on Palestinian drivers and passers-by, with Israeli occupation army turning a blind eye.
Settler violence against Palestinians and their property is routine in the occupied Palestinian Territories, and is rarely prosecuted by the occupation authorities. 
M.N
"
"27 Palestinian civilians pulled out dead from the debris in Gaza, raising death toll to 181""",16/May/2021 09:30 AM,https://english.wafa.ps/Pages/Details/124497,"
GAZA, Sunday, May 16, 2021 (WAFA) – Twenty-seven innocent Palestinian civilians were pulled out from the rubble of the homes levelled to the ground last night by Israeli warplanes in the neighborhood of Al-Rimal in Gaza City, raising the death toll of the barbarian Israeli aggression on the Gaza Strip since last week to 181. 
The number could rise as civil defense teams are searching for any more people who might be trapped under the rubble. Over 50 other civilians have also been injured in the Israeli airstrikes on the neighborhood, located on the west side of Gaza City. 
The latest Israeli airstrikes, in addition to those carried out over the past five days, have caused significant damage to infrastructure, including electricity networks and roads, cutting the geographic connection between major neighborhoods in the coastal enclave.
Entire buildings, homes and apartments were levelled to the ground by Israeli warplanes and artillery during the ongoing Israeli aggression which mainly targets the civil population.
The latest figures bring up the number of Palestinians killed since the beginning of the Israeli aggression on Gaza last week to 181, including 52 children and 31 women, and the wounded to 1200.
M.N
 
"
"Israeli warplanes launch series of violent airstrikes on Gaza city, killing two people """,16/May/2021 02:12 AM,https://english.wafa.ps/Pages/Details/124493,"
GAZA, Sunday, May 16, 2021 (WAFA) – Israeli warplanes after midnight launched a series of violent and unprecedented airstrikes targeting several locations in Gaza City, killing two people and injuring dozens  others, said sources.
At least two people were killed and dozens more were injured, mostly children and women, in the violent airstrikes that targeted the entire western part of Gaza city.
Israel fired at least 50 missiles targeting various other areas in the city and its center, including al-Rimal, Tal al-Hawa, and Sheikh Ajlen areas.
The intensive shelling caused massive destruction to the targeted areas, including to civilians’ houses and properties, and a complete blackout in the northern Rimal neighborhood of Gaza City.
T.R.
"
